age,monthly_income,monthly_expenses,monthly_surplus,savings,existing_investments,monthly_emi,investment_horizon,investment_experience,reaction_to_market_loss,investment_frequency,liquidity_preference,investment_goal,risk_questionnaire_score,risk_profile,savings_ratio,expense_ratio,emi_to_income_ratio,investment_to_income_ratio
27,36000.0,21100.0,5800.0,319000,84000.0,9100,5,3,4,RARELY,LOW,WEALTH_CREATION,82.0,HIGH,0.7384259259259259,0.5861111111111111,0.25277777777777777,0.19444444444444445
62,82000.0,34900.0,25900.0,578000,102000.0,21200,14,2,2,MONTHLY,MEDIUM,WEALTH_CREATION,56.0,HIGH,0.5873983739837398,0.42560975609756097,0.25853658536585367,0.10365853658536585
62,82000.0,58700.0,11900.0,967000,353000.0,11400,1,1,5,MONTHLY,HIGH,RETIREMENT,69.0,HIGH,0.9827235772357723,0.7158536585365853,0.13902439024390245,0.358739837398374
49,77000.0,58300.0,0.0,1067000,411000.0,42300,21,2,1,MONTHLY,MEDIUM,SHORT_TERM_GOAL,49.0,MEDIUM,1.1547619047619047,0.7571428571428571,0.5493506493506494,0.4448051948051948
63,51000.0,42600.0,2800.0,1747000,579000.0,5600,6,2,1,MONTHLY,HIGH,RETIREMENT,46.0,HIGH,2.854575163398693,0.8352941176470589,0.10980392156862745,0.946078431372549
25,26000.0,10900.0,7600.0,367000,27000.0,7500,18,3,1,MONTHLY,HIGH,SHORT_TERM_GOAL,53.0,MEDIUM,1.1762820512820513,0.41923076923076924,0.28846153846153844,0.08653846153846154
49,47000.0,21000.0,11800.0,1070000,342000.0,14200,17,1,3,MONTHLY,HIGH,EMERGENCY_FUND,47.0,HIGH,1.8971631205673758,0.44680851063829785,0.3021276595744681,0.6063829787234043
26,93000.0,64600.0,6400.0,952000,63000.0,22000,6,1,5,RARELY,MEDIUM,EMERGENCY_FUND,60.0,MEDIUM,0.8530465949820788,0.6946236559139785,0.23655913978494625,0.056451612903225805
51,82000.0,59000.0,0.0,1532000,536000.0,30500,1,2,4,MONTHLY,LOW,SHORT_TERM_GOAL,80.0,HIGH,1.556910569105691,0.7195121951219512,0.3719512195121951,0.5447154471544715
53,85000.0,52500.0,14700.0,1139000,898000.0,17800,1,2,2,LUMP_SUM,MEDIUM,WEALTH_CREATION,56.0,HIGH,1.1166666666666667,0.6176470588235294,0.20941176470588235,0.8803921568627451
27,174000.0,148500.0,1700.0,1144000,239000.0,23800,1,3,3,MONTHLY,LOW,WEALTH_CREATION,100.0,HIGH,0.5478927203065134,0.853448275862069,0.1367816091954023,0.11446360153256704
53,39000.0,22400.0,7400.0,1029000,324000.0,9200,6,3,2,MONTHLY,MEDIUM,RETIREMENT,69.0,HIGH,2.198717948717949,0.5743589743589743,0.2358974358974359,0.6923076923076923
39,55000.0,33900.0,7000.0,1140000,53000.0,14100,4,5,5,MONTHLY,MEDIUM,RETIREMENT,100.0,HIGH,1.7272727272727273,0.6163636363636363,0.25636363636363635,0.0803030303030303
22,28000.0,17500.0,9000.0,338000,143000.0,1500,9,2,2,LUMP_SUM,LOW,WEALTH_CREATION,60.0,HIGH,1.005952380952381,0.625,0.05357142857142857,0.4255952380952381
45,158000.0,68300.0,76500.0,592000,24000.0,13200,15,5,5,LUMP_SUM,HIGH,RETIREMENT,91.0,HIGH,0.31223628691983124,0.43227848101265826,0.08354430379746836,0.012658227848101266
31,124000.0,66800.0,45700.0,2589000,1031000.0,11500,12,2,4,RARELY,LOW,SHORT_TERM_GOAL,70.0,HIGH,1.7399193548387097,0.5387096774193548,0.09274193548387097,0.6928763440860215
64,67000.0,32300.0,9100.0,316000,179000.0,25600,3,4,2,RARELY,MEDIUM,WEALTH_CREATION,71.0,MEDIUM,0.39303482587064675,0.48208955223880595,0.382089552238806,0.22263681592039802
56,37000.0,20900.0,6800.0,612000,253000.0,9300,2,5,4,MONTHLY,LOW,TAX_SAVING,100.0,HIGH,1.3783783783783783,0.5648648648648649,0.25135135135135134,0.5698198198198198
61,74000.0,43800.0,23400.0,704000,72000.0,6800,2,4,2,RARELY,MEDIUM,RETIREMENT,66.0,MEDIUM,0.7927927927927928,0.5918918918918918,0.0918918918918919,0.08108108108108109
27,48000.0,29100.0,15700.0,272000,24000.0,3200,14,2,3,QUARTERLY,MEDIUM,WEALTH_CREATION,71.0,HIGH,0.4722222222222222,0.60625,0.06666666666666667,0.041666666666666664
36,43000.0,23900.0,18100.0,359000,174000.0,1000,3,2,1,QUARTERLY,HIGH,WEALTH_CREATION,56.0,HIGH,0.6957364341085271,0.5558139534883721,0.023255813953488372,0.3372093023255814
28,72000.0,54200.0,0.0,2575000,434000.0,23600,5,2,3,RARELY,MEDIUM,RETIREMENT,66.0,HIGH,2.980324074074074,0.7527777777777778,0.3277777777777778,0.5023148148148148
57,23000.0,13900.0,6600.0,239000,105000.0,2500,10,1,3,QUARTERLY,HIGH,WEALTH_CREATION,48.0,HIGH,0.8659420289855072,0.6043478260869565,0.10869565217391304,0.3804347826086957
65,53000.0,29600.0,10500.0,150000,14000.0,12900,5,1,5,MONTHLY,MEDIUM,EMERGENCY_FUND,65.0,LOW,0.2358490566037736,0.5584905660377358,0.24339622641509434,0.0220125786163522
65,43000.0,16900.0,21600.0,321000,73000.0,4500,9,2,5,MONTHLY,MEDIUM,EMERGENCY_FUND,83.0,HIGH,0.622093023255814,0.3930232558139535,0.10465116279069768,0.14147286821705427
26,51000.0,31200.0,17300.0,191000,49000.0,2500,11,1,2,LUMP_SUM,LOW,EMERGENCY_FUND,65.0,HIGH,0.31209150326797386,0.611764705882353,0.049019607843137254,0.08006535947712418
31,20000.0,12500.0,5200.0,268000,59000.0,2300,6,2,5,RARELY,HIGH,SHORT_TERM_GOAL,74.0,HIGH,1.1166666666666667,0.625,0.115,0.24583333333333332
27,121000.0,48400.0,34600.0,781000,115000.0,38000,1,1,2,LUMP_SUM,LOW,TAX_SAVING,58.0,LOW,0.5378787878787878,0.4,0.3140495867768595,0.07920110192837465
48,67000.0,33100.0,7400.0,502000,54000.0,26500,1,1,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,50.0,LOW,0.6243781094527363,0.49402985074626865,0.39552238805970147,0.06716417910447761
28,56000.0,44500.0,0.0,1848000,763000.0,11700,8,2,2,RARELY,LOW,EMERGENCY_FUND,54.0,HIGH,2.75,0.7946428571428571,0.20892857142857144,1.1354166666666667
55,40000.0,22300.0,6500.0,148000,75000.0,11200,15,3,2,RARELY,HIGH,TAX_SAVING,57.0,MEDIUM,0.30833333333333335,0.5575,0.28,0.15625
25,68000.0,62500.0,0.0,1701000,194000.0,18100,16,3,5,MONTHLY,HIGH,RETIREMENT,65.0,HIGH,2.0845588235294117,0.9191176470588235,0.2661764705882353,0.23774509803921567
50,54000.0,37700.0,12400.0,308000,6000.0,3900,4,1,4,MONTHLY,MEDIUM,WEALTH_CREATION,72.0,MEDIUM,0.47530864197530864,0.6981481481481482,0.07222222222222222,0.009259259259259259
41,91000.0,60800.0,0.0,932000,420000.0,41600,9,1,2,LUMP_SUM,MEDIUM,RETIREMENT,41.0,MEDIUM,0.8534798534798534,0.6681318681318681,0.45714285714285713,0.38461538461538464
40,41000.0,19000.0,12500.0,949000,267000.0,9500,4,1,3,RARELY,HIGH,WEALTH_CREATION,40.0,HIGH,1.9288617886178863,0.4634146341463415,0.23170731707317074,0.5426829268292683
38,49000.0,33300.0,0.0,371000,90000.0,16400,13,3,4,RARELY,MEDIUM,EMERGENCY_FUND,72.0,LOW,0.6309523809523809,0.6795918367346939,0.3346938775510204,0.15306122448979592
41,100000.0,69100.0,3800.0,1472000,858000.0,27100,9,1,1,MONTHLY,HIGH,TAX_SAVING,33.0,MEDIUM,1.2266666666666666,0.691,0.271,0.715
42,36000.0,22500.0,3100.0,465000,82000.0,10400,18,5,5,QUARTERLY,HIGH,WEALTH_CREATION,100.0,HIGH,1.0763888888888888,0.625,0.28888888888888886,0.18981481481481483
21,39000.0,22300.0,4700.0,398000,148000.0,12000,1,2,1,QUARTERLY,MEDIUM,SHORT_TERM_GOAL,67.0,LOW,0.8504273504273504,0.5717948717948718,0.3076923076923077,0.3162393162393162
64,22000.0,17000.0,800.0,235000,14000.0,4200,12,1,4,MONTHLY,HIGH,TAX_SAVING,77.0,HIGH,0.8901515151515151,0.7727272727272727,0.19090909090909092,0.05303030303030303
45,69000.0,45000.0,13500.0,908000,47000.0,10500,9,1,5,MONTHLY,HIGH,TAX_SAVING,66.0,HIGH,1.0966183574879227,0.6521739130434783,0.15217391304347827,0.05676328502415459
46,117000.0,50200.0,17900.0,2689000,1703000.0,48900,1,2,3,QUARTERLY,HIGH,WEALTH_CREATION,52.0,HIGH,1.9152421652421652,0.42905982905982903,0.41794871794871796,1.212962962962963
49,65000.0,26700.0,9700.0,1794000,79000.0,28600,13,1,1,MONTHLY,MEDIUM,RETIREMENT,45.0,HIGH,2.3,0.4107692307692308,0.44,0.10128205128205128
32,57000.0,31000.0,23100.0,432000,175000.0,2900,3,1,2,MONTHLY,LOW,WEALTH_CREATION,59.0,HIGH,0.631578947368421,0.543859649122807,0.05087719298245614,0.25584795321637427
44,48000.0,42500.0,0.0,579000,66000.0,16400,5,3,4,RARELY,LOW,WEALTH_CREATION,84.0,HIGH,1.0052083333333333,0.8854166666666666,0.3416666666666667,0.11458333333333333
41,39000.0,19900.0,11300.0,255000,73000.0,7800,3,3,1,LUMP_SUM,HIGH,WEALTH_CREATION,62.0,MEDIUM,0.5448717948717948,0.5102564102564102,0.2,0.15598290598290598
25,55000.0,18200.0,24100.0,382000,127000.0,12700,9,3,1,LUMP_SUM,MEDIUM,RETIREMENT,55.0,HIGH,0.5787878787878787,0.33090909090909093,0.2309090909090909,0.19242424242424241
62,87000.0,54500.0,13000.0,1187000,406000.0,19500,10,2,2,MONTHLY,LOW,RETIREMENT,44.0,HIGH,1.1369731800766283,0.6264367816091954,0.22413793103448276,0.3888888888888889
30,53000.0,31800.0,0.0,1374000,163000.0,21400,13,2,3,MONTHLY,MEDIUM,RETIREMENT,71.0,HIGH,2.160377358490566,0.6,0.4037735849056604,0.2562893081761006
32,83000.0,69400.0,4600.0,580000,67000.0,9000,7,1,4,QUARTERLY,MEDIUM,TAX_SAVING,66.0,MEDIUM,0.5823293172690763,0.8361445783132531,0.10843373493975904,0.06726907630522089
43,51000.0,24600.0,23300.0,519000,156000.0,3100,2,2,3,QUARTERLY,MEDIUM,RETIREMENT,45.0,HIGH,0.8480392156862745,0.4823529411764706,0.060784313725490195,0.2549019607843137
32,73000.0,51700.0,6000.0,379000,108000.0,15300,8,1,1,LUMP_SUM,MEDIUM,WEALTH_CREATION,47.0,LOW,0.432648401826484,0.7082191780821918,0.2095890410958904,0.1232876712328767
50,86000.0,51300.0,18400.0,1143000,238000.0,16300,3,2,4,LUMP_SUM,LOW,SHORT_TERM_GOAL,83.0,HIGH,1.1075581395348837,0.5965116279069768,0.18953488372093022,0.23062015503875968
26,93000.0,65000.0,15900.0,442000,79000.0,12100,12,1,2,RARELY,HIGH,TAX_SAVING,22.0,MEDIUM,0.3960573476702509,0.6989247311827957,0.13010752688172042,0.07078853046594982
47,98000.0,83400.0,0.0,1616000,256000.0,24000,17,1,3,MONTHLY,HIGH,RETIREMENT,59.0,HIGH,1.3741496598639455,0.8510204081632653,0.24489795918367346,0.21768707482993196
21,100000.0,78700.0,9900.0,928000,163000.0,11400,18,3,1,QUARTERLY,HIGH,WEALTH_CREATION,38.0,HIGH,0.7733333333333333,0.787,0.114,0.13583333333333333
50,26000.0,15000.0,8100.0,162000,26000.0,2900,12,1,3,LUMP_SUM,LOW,RETIREMENT,66.0,HIGH,0.5192307692307693,0.5769230769230769,0.11153846153846154,0.08333333333333333
64,62000.0,35600.0,0.0,277000,26000.0,27800,15,4,3,LUMP_SUM,LOW,TAX_SAVING,89.0,HIGH,0.37231182795698925,0.5741935483870968,0.4483870967741935,0.03494623655913978
43,116000.0,64800.0,43600.0,310000,149000.0,7600,5,1,2,MONTHLY,MEDIUM,TAX_SAVING,40.0,LOW,0.22270114942528735,0.5586206896551724,0.06551724137931035,0.10704022988505747
65,103000.0,55500.0,35100.0,558000,161000.0,12400,1,2,2,MONTHLY,HIGH,RETIREMENT,49.0,MEDIUM,0.45145631067961167,0.5388349514563107,0.1203883495145631,0.1302588996763754
51,67000.0,39600.0,16100.0,848000,128000.0,11300,15,2,2,LUMP_SUM,HIGH,TAX_SAVING,60.0,HIGH,1.054726368159204,0.591044776119403,0.16865671641791044,0.15920398009950248
36,59000.0,30200.0,1600.0,1405000,864000.0,27200,14,1,4,LUMP_SUM,LOW,EMERGENCY_FUND,64.0,HIGH,1.984463276836158,0.511864406779661,0.4610169491525424,1.2203389830508475
57,84000.0,56900.0,2300.0,416000,2000.0,24800,3,5,1,RARELY,HIGH,TAX_SAVING,60.0,LOW,0.4126984126984127,0.6773809523809524,0.29523809523809524,0.001984126984126984
41,52000.0,25300.0,6400.0,788000,121000.0,20300,7,2,3,LUMP_SUM,LOW,SHORT_TERM_GOAL,77.0,HIGH,1.2628205128205128,0.48653846153846153,0.3903846153846154,0.19391025641025642
21,73000.0,36500.0,24700.0,478000,113000.0,11800,16,2,5,MONTHLY,HIGH,TAX_SAVING,61.0,HIGH,0.545662100456621,0.5,0.16164383561643836,0.12899543378995434
46,26000.0,6200.0,16400.0,234000,80000.0,3400,14,2,1,MONTHLY,MEDIUM,RETIREMENT,63.0,HIGH,0.75,0.23846153846153847,0.13076923076923078,0.2564102564102564
34,60000.0,31600.0,5200.0,327000,12000.0,23200,2,1,4,MONTHLY,LOW,EMERGENCY_FUND,75.0,LOW,0.45416666666666666,0.5266666666666666,0.38666666666666666,0.016666666666666666
46,47000.0,23000.0,15300.0,90000,5000.0,8700,1,3,1,MONTHLY,LOW,WEALTH_CREATION,59.0,MEDIUM,0.1595744680851064,0.48936170212765956,0.1851063829787234,0.008865248226950355
60,90000.0,53200.0,18100.0,854000,382000.0,18700,9,1,2,LUMP_SUM,MEDIUM,EMERGENCY_FUND,41.0,MEDIUM,0.7907407407407407,0.5911111111111111,0.20777777777777778,0.3537037037037037
41,58000.0,33200.0,22400.0,166000,14000.0,2400,6,4,4,MONTHLY,MEDIUM,EMERGENCY_FUND,96.0,HIGH,0.23850574712643677,0.5724137931034483,0.041379310344827586,0.020114942528735632
22,88000.0,25000.0,52500.0,1201000,308000.0,10500,8,1,3,RARELY,MEDIUM,WEALTH_CREATION,54.0,HIGH,1.137310606060606,0.2840909090909091,0.11931818181818182,0.2916666666666667
24,132000.0,101600.0,17300.0,759000,214000.0,13100,10,1,2,LUMP_SUM,LOW,EMERGENCY_FUND,51.0,HIGH,0.4791666666666667,0.7696969696969697,0.09924242424242424,0.1351010101010101
46,71000.0,35200.0,27100.0,210000,45000.0,8700,11,5,4,LUMP_SUM,HIGH,WEALTH_CREATION,92.0,HIGH,0.24647887323943662,0.49577464788732395,0.12253521126760564,0.0528169014084507
65,38000.0,23700.0,8200.0,507000,107000.0,6100,3,1,4,MONTHLY,MEDIUM,SHORT_TERM_GOAL,67.0,HIGH,1.111842105263158,0.6236842105263158,0.16052631578947368,0.23464912280701755
45,54000.0,35800.0,0.0,1018000,360000.0,23000,6,2,3,MONTHLY,LOW,WEALTH_CREATION,80.0,HIGH,1.5709876543209877,0.662962962962963,0.42592592592592593,0.5555555555555556
51,42000.0,37300.0,0.0,190000,25000.0,5700,4,2,2,MONTHLY,LOW,EMERGENCY_FUND,76.0,LOW,0.376984126984127,0.888095238095238,0.1357142857142857,0.0496031746031746
43,108000.0,60600.0,42700.0,1540000,578000.0,4700,16,1,3,QUARTERLY,MEDIUM,SHORT_TERM_GOAL,70.0,HIGH,1.1882716049382716,0.5611111111111111,0.04351851851851852,0.44598765432098764
49,35000.0,27600.0,0.0,575000,46000.0,19200,10,2,2,MONTHLY,LOW,TAX_SAVING,67.0,HIGH,1.369047619047619,0.7885714285714286,0.5485714285714286,0.10952380952380952
27,70000.0,16800.0,42900.0,322000,132000.0,10300,10,3,1,RARELY,MEDIUM,WEALTH_CREATION,50.0,MEDIUM,0.38333333333333336,0.24,0.14714285714285713,0.15714285714285714
44,51000.0,19000.0,27000.0,326000,40000.0,5000,3,4,4,LUMP_SUM,HIGH,EMERGENCY_FUND,78.0,MEDIUM,0.5326797385620915,0.37254901960784315,0.09803921568627451,0.06535947712418301
40,92000.0,56200.0,4300.0,275000,33000.0,31500,19,3,2,QUARTERLY,MEDIUM,SHORT_TERM_GOAL,54.0,LOW,0.24909420289855072,0.6108695652173913,0.3423913043478261,0.029891304347826088
43,140000.0,81900.0,47900.0,824000,7000.0,10200,10,1,2,RARELY,MEDIUM,SHORT_TERM_GOAL,50.0,LOW,0.49047619047619045,0.585,0.07285714285714286,0.004166666666666667
45,122000.0,59600.0,50000.0,2718000,706000.0,12400,5,1,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,49.0,HIGH,1.8565573770491803,0.4885245901639344,0.10163934426229508,0.4822404371584699
54,87000.0,44500.0,13100.0,889000,473000.0,29400,4,2,4,RARELY,MEDIUM,RETIREMENT,50.0,HIGH,0.8515325670498084,0.5114942528735632,0.33793103448275863,0.45306513409961685
56,47000.0,17200.0,27500.0,133000,28000.0,2300,5,3,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,51.0,HIGH,0.23581560283687944,0.3659574468085106,0.04893617021276596,0.04964539007092199
58,80000.0,41300.0,33400.0,191000,14000.0,5300,9,1,4,LUMP_SUM,LOW,RETIREMENT,70.0,HIGH,0.19895833333333332,0.51625,0.06625,0.014583333333333334
51,59000.0,40800.0,13500.0,384000,81000.0,4700,3,4,2,MONTHLY,HIGH,TAX_SAVING,59.0,HIGH,0.5423728813559322,0.6915254237288135,0.07966101694915254,0.11440677966101695
