age,monthly_income,monthly_expenses,monthly_surplus,savings,existing_investments,monthly_emi,investment_horizon,investment_experience,reaction_to_market_loss,investment_frequency,liquidity_preference,investment_goal,risk_questionnaire_score,risk_profile
65,43000.0,16900.0,21600.0,321000,73000.0,4500,9,2,5,MONTHLY,MEDIUM,EMERGENCY_FUND,83.0,HIGH
26,51000.0,31200.0,17300.0,191000,49000.0,2500,11,1,2,LUMP_SUM,LOW,EMERGENCY_FUND,65.0,HIGH
31,20000.0,12500.0,5200.0,268000,59000.0,2300,6,2,5,RARELY,HIGH,SHORT_TERM_GOAL,74.0,HIGH
27,121000.0,48400.0,34600.0,781000,115000.0,38000,1,1,2,LUMP_SUM,LOW,TAX_SAVING,58.0,LOW
48,67000.0,33100.0,7400.0,502000,54000.0,26500,1,1,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,50.0,LOW
28,56000.0,44500.0,0.0,1848000,763000.0,11700,8,2,2,RARELY,LOW,EMERGENCY_FUND,54.0,HIGH
55,40000.0,22300.0,6500.0,148000,75000.0,11200,15,3,2,RARELY,HIGH,TAX_SAVING,57.0,MEDIUM
25,68000.0,62500.0,0.0,1701000,194000.0,18100,16,3,5,MONTHLY,HIGH,RETIREMENT,65.0,HIGH
50,54000.0,37700.0,12400.0,308000,6000.0,3900,4,1,4,MONTHLY,MEDIUM,WEALTH_CREATION,72.0,MEDIUM
41,91000.0,60800.0,0.0,932000,420000.0,41600,9,1,2,LUMP_SUM,MEDIUM,RETIREMENT,41.0,MEDIUM
40,41000.0,19000.0,12500.0,949000,267000.0,9500,4,1,3,RARELY,HIGH,WEALTH_CREATION,40.0,HIGH
38,49000.0,33300.0,0.0,371000,90000.0,16400,13,3,4,RARELY,MEDIUM,EMERGENCY_FUND,72.0,LOW
41,100000.0,69100.0,3800.0,1472000,858000.0,27100,9,1,1,MONTHLY,HIGH,TAX_SAVING,33.0,MEDIUM
42,36000.0,22500.0,3100.0,465000,82000.0,10400,18,5,5,QUARTERLY,HIGH,WEALTH_CREATION,100.0,HIGH
21,39000.0,22300.0,4700.0,398000,148000.0,12000,1,2,1,QUARTERLY,MEDIUM,SHORT_TERM_GOAL,67.0,LOW
64,22000.0,17000.0,800.0,235000,14000.0,4200,12,1,4,MONTHLY,HIGH,TAX_SAVING,77.0,HIGH
45,69000.0,45000.0,13500.0,908000,47000.0,10500,9,1,5,MONTHLY,HIGH,TAX_SAVING,66.0,HIGH
46,117000.0,50200.0,17900.0,2689000,1703000.0,48900,1,2,3,QUARTERLY,HIGH,WEALTH_CREATION,52.0,HIGH
49,65000.0,26700.0,9700.0,1794000,79000.0,28600,13,1,1,MONTHLY,MEDIUM,RETIREMENT,45.0,HIGH
32,57000.0,31000.0,23100.0,432000,175000.0,2900,3,1,2,MONTHLY,LOW,WEALTH_CREATION,59.0,HIGH
44,48000.0,42500.0,0.0,579000,66000.0,16400,5,3,4,RARELY,LOW,WEALTH_CREATION,84.0,HIGH
41,39000.0,19900.0,11300.0,255000,73000.0,7800,3,3,1,LUMP_SUM,HIGH,WEALTH_CREATION,62.0,MEDIUM
25,55000.0,18200.0,24100.0,382000,127000.0,12700,9,3,1,LUMP_SUM,MEDIUM,RETIREMENT,55.0,HIGH
62,87000.0,54500.0,13000.0,1187000,406000.0,19500,10,2,2,MONTHLY,LOW,RETIREMENT,44.0,HIGH
30,53000.0,31800.0,0.0,1374000,163000.0,21400,13,2,3,MONTHLY,MEDIUM,RETIREMENT,71.0,HIGH
32,83000.0,69400.0,4600.0,580000,67000.0,9000,7,1,4,QUARTERLY,MEDIUM,TAX_SAVING,66.0,MEDIUM
43,51000.0,24600.0,23300.0,519000,156000.0,3100,2,2,3,QUARTERLY,MEDIUM,RETIREMENT,45.0,HIGH
32,73000.0,51700.0,6000.0,379000,108000.0,15300,8,1,1,LUMP_SUM,MEDIUM,WEALTH_CREATION,47.0,LOW
50,86000.0,51300.0,18400.0,1143000,238000.0,16300,3,2,4,LUMP_SUM,LOW,SHORT_TERM_GOAL,83.0,HIGH
26,93000.0,65000.0,15900.0,442000,79000.0,12100,12,1,2,RARELY,HIGH,TAX_SAVING,22.0,MEDIUM
47,98000.0,83400.0,0.0,1616000,256000.0,24000,17,1,3,MONTHLY,HIGH,RETIREMENT,59.0,HIGH
21,100000.0,78700.0,9900.0,928000,163000.0,11400,18,3,1,QUARTERLY,HIGH,WEALTH_CREATION,38.0,HIGH
50,26000.0,15000.0,8100.0,162000,26000.0,2900,12,1,3,LUMP_SUM,LOW,RETIREMENT,66.0,HIGH
64,62000.0,35600.0,0.0,277000,26000.0,27800,15,4,3,LUMP_SUM,LOW,TAX_SAVING,89.0,HIGH
43,116000.0,64800.0,43600.0,310000,149000.0,7600,5,1,2,MONTHLY,MEDIUM,TAX_SAVING,40.0,LOW
65,103000.0,55500.0,35100.0,558000,161000.0,12400,1,2,2,MONTHLY,HIGH,RETIREMENT,49.0,MEDIUM
51,67000.0,39600.0,16100.0,848000,128000.0,11300,15,2,2,LUMP_SUM,HIGH,TAX_SAVING,60.0,HIGH
36,59000.0,30200.0,1600.0,1405000,864000.0,27200,14,1,4,LUMP_SUM,LOW,EMERGENCY_FUND,64.0,HIGH
57,84000.0,56900.0,2300.0,416000,2000.0,24800,3,5,1,RARELY,HIGH,TAX_SAVING,60.0,LOW
41,52000.0,25300.0,6400.0,788000,121000.0,20300,7,2,3,LUMP_SUM,LOW,SHORT_TERM_GOAL,77.0,HIGH
21,73000.0,36500.0,24700.0,478000,113000.0,11800,16,2,5,MONTHLY,HIGH,TAX_SAVING,61.0,HIGH
46,26000.0,6200.0,16400.0,234000,80000.0,3400,14,2,1,MONTHLY,MEDIUM,RETIREMENT,63.0,HIGH
34,60000.0,31600.0,5200.0,327000,12000.0,23200,2,1,4,MONTHLY,LOW,EMERGENCY_FUND,75.0,LOW
46,47000.0,23000.0,15300.0,90000,5000.0,8700,1,3,1,MONTHLY,LOW,WEALTH_CREATION,59.0,MEDIUM
60,90000.0,53200.0,18100.0,854000,382000.0,18700,9,1,2,LUMP_SUM,MEDIUM,EMERGENCY_FUND,41.0,MEDIUM
41,58000.0,33200.0,22400.0,166000,14000.0,2400,6,4,4,MONTHLY,MEDIUM,EMERGENCY_FUND,96.0,HIGH
22,88000.0,25000.0,52500.0,1201000,308000.0,10500,8,1,3,RARELY,MEDIUM,WEALTH_CREATION,54.0,HIGH
24,132000.0,101600.0,17300.0,759000,214000.0,13100,10,1,2,LUMP_SUM,LOW,EMERGENCY_FUND,51.0,HIGH
46,71000.0,35200.0,27100.0,210000,45000.0,8700,11,5,4,LUMP_SUM,HIGH,WEALTH_CREATION,92.0,HIGH
65,38000.0,23700.0,8200.0,507000,107000.0,6100,3,1,4,MONTHLY,MEDIUM,SHORT_TERM_GOAL,67.0,HIGH
45,54000.0,35800.0,0.0,1018000,360000.0,23000,6,2,3,MONTHLY,LOW,WEALTH_CREATION,80.0,HIGH
51,42000.0,37300.0,0.0,190000,25000.0,5700,4,2,2,MONTHLY,LOW,EMERGENCY_FUND,76.0,LOW
43,108000.0,60600.0,42700.0,1540000,578000.0,4700,16,1,3,QUARTERLY,MEDIUM,SHORT_TERM_GOAL,70.0,HIGH
49,35000.0,27600.0,0.0,575000,46000.0,19200,10,2,2,MONTHLY,LOW,TAX_SAVING,67.0,HIGH
27,70000.0,16800.0,42900.0,322000,132000.0,10300,10,3,1,RARELY,MEDIUM,WEALTH_CREATION,50.0,MEDIUM
44,51000.0,19000.0,27000.0,326000,40000.0,5000,3,4,4,LUMP_SUM,HIGH,EMERGENCY_FUND,78.0,MEDIUM
40,92000.0,56200.0,4300.0,275000,33000.0,31500,19,3,2,QUARTERLY,MEDIUM,SHORT_TERM_GOAL,54.0,LOW
43,140000.0,81900.0,47900.0,824000,7000.0,10200,10,1,2,RARELY,MEDIUM,SHORT_TERM_GOAL,50.0,LOW
45,122000.0,59600.0,50000.0,2718000,706000.0,12400,5,1,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,49.0,HIGH
54,87000.0,44500.0,13100.0,889000,473000.0,29400,4,2,4,RARELY,MEDIUM,RETIREMENT,50.0,HIGH
56,47000.0,17200.0,27500.0,133000,28000.0,2300,5,3,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,51.0,HIGH
58,80000.0,41300.0,33400.0,191000,14000.0,5300,9,1,4,LUMP_SUM,LOW,RETIREMENT,70.0,HIGH
51,59000.0,40800.0,13500.0,384000,81000.0,4700,3,4,2,MONTHLY,HIGH,TAX_SAVING,59.0,HIGH
29,20000.0,11000.0,6400.0,363000,30000.0,2600,17,1,3,MONTHLY,HIGH,TAX_SAVING,56.0,HIGH
65,34000.0,20100.0,12000.0,284000,61000.0,1900,18,2,3,MONTHLY,HIGH,RETIREMENT,47.0,HIGH
54,132000.0,71300.0,35800.0,419000,220000.0,24900,18,3,3,RARELY,MEDIUM,WEALTH_CREATION,67.0,HIGH
39,44000.0,14000.0,24900.0,408000,285000.0,5100,6,2,1,MONTHLY,MEDIUM,EMERGENCY_FUND,50.0,MEDIUM
47,132000.0,106500.0,16600.0,2168000,911000.0,8900,1,3,4,RARELY,LOW,SHORT_TERM_GOAL,88.0,HIGH
23,72000.0,52300.0,7800.0,1030000,267000.0,11900,11,3,1,RARELY,HIGH,TAX_SAVING,63.0,HIGH
53,65000.0,43500.0,14000.0,718000,179000.0,7500,8,3,1,MONTHLY,MEDIUM,WEALTH_CREATION,61.0,HIGH
60,215000.0,158600.0,4900.0,7510000,2788000.0,51500,7,1,3,MONTHLY,MEDIUM,TAX_SAVING,63.0,HIGH
44,80000.0,53200.0,0.0,620000,87000.0,36100,2,2,5,RARELY,MEDIUM,EMERGENCY_FUND,75.0,LOW
53,33000.0,22800.0,6400.0,394000,187000.0,3800,10,4,3,MONTHLY,HIGH,SHORT_TERM_GOAL,76.0,HIGH
42,148000.0,108100.0,0.0,6640000,1045000.0,52500,11,5,3,RARELY,MEDIUM,TAX_SAVING,87.0,HIGH
43,76000.0,52500.0,2300.0,957000,98000.0,21200,23,3,1,MONTHLY,HIGH,WEALTH_CREATION,45.0,HIGH
49,111000.0,71200.0,5600.0,1818000,170000.0,34200,15,4,4,LUMP_SUM,HIGH,RETIREMENT,93.0,HIGH
33,52000.0,23500.0,8300.0,512000,138000.0,20200,5,3,1,MONTHLY,MEDIUM,WEALTH_CREATION,73.0,MEDIUM
63,27000.0,15100.0,5600.0,361000,54000.0,6300,5,5,3,MONTHLY,MEDIUM,EMERGENCY_FUND,90.0,HIGH
43,38000.0,21100.0,5700.0,542000,115000.0,11200,18,1,3,RARELY,LOW,SHORT_TERM_GOAL,54.0,HIGH
25,31000.0,20900.0,0.0,121000,10000.0,10400,6,2,2,MONTHLY,MEDIUM,WEALTH_CREATION,74.0,MEDIUM
25,118000.0,74200.0,36800.0,1794000,567000.0,7000,9,5,1,LUMP_SUM,HIGH,EMERGENCY_FUND,63.0,HIGH
21,74000.0,46700.0,12900.0,662000,331000.0,14400,16,1,1,LUMP_SUM,HIGH,SHORT_TERM_GOAL,33.0,HIGH
50,76000.0,31000.0,16800.0,1342000,321000.0,28200,5,3,3,MONTHLY,MEDIUM,EMERGENCY_FUND,81.0,HIGH
41,48000.0,29200.0,2800.0,445000,27000.0,16000,2,2,2,RARELY,LOW,WEALTH_CREATION,47.0,MEDIUM
22,133000.0,85400.0,45200.0,1909000,356000.0,2400,2,2,1,MONTHLY,LOW,WEALTH_CREATION,85.0,HIGH
64,34000.0,17800.0,7400.0,94000,3000.0,8800,1,5,2,LUMP_SUM,MEDIUM,EMERGENCY_FUND,81.0,LOW
55,73000.0,37300.0,20900.0,407000,347000.0,14800,7,1,3,MONTHLY,LOW,WEALTH_CREATION,53.0,HIGH
63,20000.0,11700.0,2800.0,311000,122000.0,5500,21,2,3,MONTHLY,HIGH,TAX_SAVING,49.0,HIGH
49,80000.0,54900.0,8100.0,1326000,634000.0,17000,19,2,1,MONTHLY,LOW,WEALTH_CREATION,41.0,HIGH
64,60000.0,46100.0,2300.0,297000,14000.0,11600,14,3,3,MONTHLY,LOW,RETIREMENT,88.0,HIGH
45,32000.0,28900.0,0.0,732000,230000.0,9400,15,2,1,MONTHLY,MEDIUM,WEALTH_CREATION,42.0,HIGH
60,34000.0,21200.0,0.0,297000,39000.0,13500,11,3,3,LUMP_SUM,LOW,WEALTH_CREATION,68.0,HIGH
56,93000.0,65500.0,24300.0,2436000,998000.0,3200,10,3,5,MONTHLY,MEDIUM,WEALTH_CREATION,93.0,HIGH
32,83000.0,57200.0,23300.0,370000,75000.0,2500,1,1,2,RARELY,HIGH,WEALTH_CREATION,46.0,LOW
59,147000.0,86800.0,47900.0,1064000,276000.0,12300,4,2,2,QUARTERLY,LOW,WEALTH_CREATION,67.0,HIGH
58,127000.0,77700.0,8100.0,1978000,330000.0,41200,5,2,1,MONTHLY,LOW,TAX_SAVING,69.0,HIGH
33,66000.0,56800.0,0.0,712000,30000.0,27200,11,2,4,QUARTERLY,LOW,RETIREMENT,71.0,HIGH
57,131000.0,120500.0,0.0,4421000,1413000.0,15200,3,5,3,MONTHLY,MEDIUM,WEALTH_CREATION,90.0,HIGH
41,25000.0,20600.0,1400.0,255000,40000.0,3000,6,2,3,RARELY,MEDIUM,EMERGENCY_FUND,54.0,LOW
56,59000.0,51100.0,1000.0,926000,306000.0,6900,1,3,3,QUARTERLY,MEDIUM,WEALTH_CREATION,91.0,HIGH
37,51000.0,39600.0,4600.0,999000,119000.0,6800,2,2,3,RARELY,HIGH,TAX_SAVING,57.0,MEDIUM
60,103000.0,72600.0,16700.0,1835000,500000.0,13700,21,2,1,MONTHLY,HIGH,TAX_SAVING,48.0,HIGH
26,42000.0,22200.0,17300.0,734000,322000.0,2500,7,1,3,MONTHLY,LOW,RETIREMENT,82.0,HIGH
50,44000.0,37900.0,2700.0,731000,294000.0,3400,15,2,2,MONTHLY,MEDIUM,WEALTH_CREATION,58.0,HIGH
43,42000.0,14000.0,18200.0,696000,212000.0,9800,17,2,2,LUMP_SUM,MEDIUM,EMERGENCY_FUND,56.0,HIGH
61,23000.0,19900.0,0.0,321000,29000.0,5400,4,3,1,MONTHLY,LOW,RETIREMENT,60.0,HIGH
38,35000.0,24000.0,10300.0,379000,41000.0,700,6,2,1,RARELY,MEDIUM,RETIREMENT,67.0,HIGH
36,22000.0,17900.0,3200.0,117000,71000.0,900,5,2,1,LUMP_SUM,HIGH,WEALTH_CREATION,48.0,MEDIUM
38,75000.0,47300.0,19900.0,1304000,408000.0,7800,13,1,2,MONTHLY,MEDIUM,WEALTH_CREATION,45.0,HIGH
56,202000.0,137100.0,42600.0,2141000,1124000.0,22300,13,1,4,RARELY,MEDIUM,WEALTH_CREATION,46.0,HIGH
37,71000.0,51800.0,0.0,1459000,840000.0,20900,15,1,3,LUMP_SUM,LOW,WEALTH_CREATION,55.0,HIGH
27,67000.0,44400.0,10200.0,1247000,553000.0,12400,1,4,2,QUARTERLY,HIGH,WEALTH_CREATION,61.0,HIGH
56,73000.0,41300.0,19000.0,645000,220000.0,12700,14,2,3,LUMP_SUM,MEDIUM,WEALTH_CREATION,65.0,HIGH
53,55000.0,43600.0,2100.0,700000,308000.0,9300,19,1,5,MONTHLY,MEDIUM,EMERGENCY_FUND,73.0,HIGH
54,44000.0,26200.0,6300.0,594000,188000.0,11500,4,4,2,MONTHLY,MEDIUM,TAX_SAVING,71.0,HIGH
25,183000.0,138900.0,10700.0,1677000,933000.0,33400,5,3,2,RARELY,HIGH,WEALTH_CREATION,64.0,MEDIUM
21,93000.0,41100.0,47200.0,476000,31000.0,4700,2,2,4,MONTHLY,MEDIUM,RETIREMENT,74.0,HIGH
37,30000.0,18900.0,8900.0,151000,98000.0,2200,5,4,1,LUMP_SUM,MEDIUM,WEALTH_CREATION,60.0,HIGH
22,89000.0,72400.0,7200.0,1106000,246000.0,9400,2,3,2,QUARTERLY,LOW,EMERGENCY_FUND,71.0,HIGH
28,46000.0,22500.0,20000.0,525000,228000.0,3500,8,1,1,MONTHLY,MEDIUM,WEALTH_CREATION,58.0,HIGH
25,57000.0,40100.0,0.0,463000,76000.0,17700,8,2,5,MONTHLY,LOW,RETIREMENT,84.0,HIGH
31,54000.0,49600.0,0.0,459000,70000.0,8600,12,4,3,MONTHLY,MEDIUM,RETIREMENT,83.0,HIGH
49,69000.0,56600.0,8800.0,599000,253000.0,3600,19,1,3,RARELY,LOW,WEALTH_CREATION,66.0,HIGH
41,122000.0,57700.0,54300.0,1206000,192000.0,10000,8,2,3,LUMP_SUM,MEDIUM,SHORT_TERM_GOAL,68.0,HIGH
33,42000.0,26200.0,400.0,829000,496000.0,15400,10,4,4,MONTHLY,HIGH,TAX_SAVING,70.0,HIGH
23,68000.0,43600.0,13800.0,1115000,228000.0,10600,7,2,3,MONTHLY,MEDIUM,WEALTH_CREATION,65.0,HIGH
53,36000.0,16700.0,13200.0,166000,11000.0,6100,12,1,1,MONTHLY,MEDIUM,RETIREMENT,34.0,HIGH
53,75000.0,43000.0,28000.0,297000,77000.0,4000,21,1,4,MONTHLY,MEDIUM,RETIREMENT,66.0,HIGH
52,36000.0,14900.0,9500.0,221000,108000.0,11600,1,4,3,RARELY,MEDIUM,SHORT_TERM_GOAL,81.0,MEDIUM
32,42000.0,20500.0,10400.0,932000,635000.0,11100,2,4,2,MONTHLY,LOW,WEALTH_CREATION,72.0,HIGH
61,68000.0,47200.0,4200.0,837000,103000.0,16600,10,2,4,QUARTERLY,HIGH,SHORT_TERM_GOAL,64.0,MEDIUM
33,75000.0,58900.0,1400.0,2326000,1634000.0,14700,5,3,3,MONTHLY,LOW,WEALTH_CREATION,69.0,HIGH
51,146000.0,120200.0,8300.0,1462000,194000.0,17500,13,1,3,MONTHLY,MEDIUM,EMERGENCY_FUND,66.0,MEDIUM
