age,monthly_income,monthly_expenses,monthly_surplus,savings,existing_investments,monthly_emi,investment_horizon,investment_experience,reaction_to_market_loss,investment_frequency,liquidity_preference,investment_goal,risk_questionnaire_score,risk_profile
53,85000,52500,14700,1139000,898000,17800,1,2,2,LUMP_SUM,MEDIUM,WEALTH_CREATION,56,HIGH
27,174000,148500,1700,1144000,239000,23800,1,3,3,MONTHLY,LOW,WEALTH_CREATION,100,HIGH
53,39000,22400,7400,1029000,324000,9200,6,3,2,MONTHLY,MEDIUM,RETIREMENT,69,HIGH
39,55000,33900,7000,1140000,53000,14100,4,5,5,MONTHLY,MEDIUM,RETIREMENT,100,HIGH
22,28000,17500,9000,338000,143000,1500,9,2,2,LUMP_SUM,LOW,WEALTH_CREATION,60,HIGH
45,158000,68300,76500,592000,24000,13200,15,5,5,LUMP_SUM,HIGH,RETIREMENT,91,HIGH
31,124000,66800,45700,2589000,1031000,11500,12,2,4,RARELY,LOW,SHORT_TERM_GOAL,70,HIGH
64,67000,32300,9100,316000,179000,25600,3,4,2,RARELY,MEDIUM,WEALTH_CREATION,71,MEDIUM
56,37000,20900,6800,612000,253000,9300,2,5,4,MONTHLY,LOW,TAX_SAVING,100,HIGH
61,74000,43800,23400,704000,72000,6800,2,4,2,RARELY,MEDIUM,RETIREMENT,66,MEDIUM
27,48000,29100,15700,272000,24000,3200,14,2,3,QUARTERLY,MEDIUM,WEALTH_CREATION,71,HIGH
36,43000,23900,18100,359000,174000,1000,3,2,1,QUARTERLY,HIGH,WEALTH_CREATION,56,HIGH
28,72000,54200,0,2575000,434000,23600,5,2,3,RARELY,MEDIUM,RETIREMENT,66,HIGH
57,23000,13900,6600,239000,105000,2500,10,1,3,QUARTERLY,HIGH,WEALTH_CREATION,48,HIGH
65,53000,29600,10500,150000,14000,12900,5,1,5,MONTHLY,MEDIUM,EMERGENCY_FUND,65,LOW
65,43000,16900,21600,321000,73000,4500,9,2,5,MONTHLY,MEDIUM,EMERGENCY_FUND,83,HIGH
26,51000,31200,17300,191000,49000,2500,11,1,2,LUMP_SUM,LOW,EMERGENCY_FUND,65,HIGH
31,20000,12500,5200,268000,59000,2300,6,2,5,RARELY,HIGH,SHORT_TERM_GOAL,74,HIGH
27,121000,48400,34600,781000,115000,38000,1,1,2,LUMP_SUM,LOW,TAX_SAVING,58,LOW
48,67000,33100,7400,502000,54000,26500,1,1,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,50,LOW
28,56000,44500,0,1848000,763000,11700,8,2,2,RARELY,LOW,EMERGENCY_FUND,54,HIGH
55,40000,22300,6500,148000,75000,11200,15,3,2,RARELY,HIGH,TAX_SAVING,57,MEDIUM
25,68000,62500,0,1701000,194000,18100,16,3,5,MONTHLY,HIGH,RETIREMENT,65,HIGH
50,54000,37700,12400,308000,6000,3900,4,1,4,MONTHLY,MEDIUM,WEALTH_CREATION,72,MEDIUM
41,91000,60800,0,932000,420000,41600,9,1,2,LUMP_SUM,MEDIUM,RETIREMENT,41,MEDIUM
40,41000,19000,12500,949000,267000,9500,4,1,3,RARELY,HIGH,WEALTH_CREATION,40,HIGH
38,49000,33300,0,371000,90000,16400,13,3,4,RARELY,MEDIUM,EMERGENCY_FUND,72,LOW
41,100000,69100,3800,1472000,858000,27100,9,1,1,MONTHLY,HIGH,TAX_SAVING,33,MEDIUM
42,36000,22500,3100,465000,82000,10400,18,5,5,QUARTERLY,HIGH,WEALTH_CREATION,100,HIGH
21,39000,22300,4700,398000,148000,12000,1,2,1,QUARTERLY,MEDIUM,SHORT_TERM_GOAL,67,LOW
64,22000,17000,800,235000,14000,4200,12,1,4,MONTHLY,HIGH,TAX_SAVING,77,HIGH
45,69000,45000,13500,908000,47000,10500,9,1,5,MONTHLY,HIGH,TAX_SAVING,66,HIGH
46,117000,50200,17900,2689000,1703000,48900,1,2,3,QUARTERLY,HIGH,WEALTH_CREATION,52,HIGH
49,65000,26700,9700,1794000,79000,28600,13,1,1,MONTHLY,MEDIUM,RETIREMENT,45,HIGH
32,57000,31000,23100,432000,175000,2900,3,1,2,MONTHLY,LOW,WEALTH_CREATION,59,HIGH
44,48000,42500,0,579000,66000,16400,5,3,4,RARELY,LOW,WEALTH_CREATION,84,HIGH
41,39000,19900,11300,255000,73000,7800,3,3,1,LUMP_SUM,HIGH,WEALTH_CREATION,62,MEDIUM
25,55000,18200,24100,382000,127000,12700,9,3,1,LUMP_SUM,MEDIUM,RETIREMENT,55,HIGH
62,87000,54500,13000,1187000,406000,19500,10,2,2,MONTHLY,LOW,RETIREMENT,44,HIGH
30,53000,31800,0,1374000,163000,21400,13,2,3,MONTHLY,MEDIUM,RETIREMENT,71,HIGH
32,83000,69400,4600,580000,67000,9000,7,1,4,QUARTERLY,MEDIUM,TAX_SAVING,66,MEDIUM
43,51000,24600,23300,519000,156000,3100,2,2,3,QUARTERLY,MEDIUM,RETIREMENT,45,HIGH
32,73000,51700,6000,379000,108000,15300,8,1,1,LUMP_SUM,MEDIUM,WEALTH_CREATION,47,LOW
50,86000,51300,18400,1143000,238000,16300,3,2,4,LUMP_SUM,LOW,SHORT_TERM_GOAL,83,HIGH
26,93000,65000,15900,442000,79000,12100,12,1,2,RARELY,HIGH,TAX_SAVING,22,MEDIUM
47,98000,83400,0,1616000,256000,24000,17,1,3,MONTHLY,HIGH,RETIREMENT,59,HIGH
21,100000,78700,9900,928000,163000,11400,18,3,1,QUARTERLY,HIGH,WEALTH_CREATION,38,HIGH
50,26000,15000,8100,162000,26000,2900,12,1,3,LUMP_SUM,LOW,RETIREMENT,66,HIGH
64,62000,35600,0,277000,26000,27800,15,4,3,LUMP_SUM,LOW,TAX_SAVING,89,HIGH
43,116000,64800,43600,310000,149000,7600,5,1,2,MONTHLY,MEDIUM,TAX_SAVING,40,LOW
65,103000,55500,35100,558000,161000,12400,1,2,2,MONTHLY,HIGH,RETIREMENT,49,MEDIUM
51,67000,39600,16100,848000,128000,11300,15,2,2,LUMP_SUM,HIGH,TAX_SAVING,60,HIGH
36,59000,30200,1600,1405000,864000,27200,14,1,4,LUMP_SUM,LOW,EMERGENCY_FUND,64,HIGH
57,84000,56900,2300,416000,2000,24800,3,5,1,RARELY,HIGH,TAX_SAVING,60,LOW
41,52000,25300,6400,788000,121000,20300,7,2,3,LUMP_SUM,LOW,SHORT_TERM_GOAL,77,HIGH
21,73000,36500,24700,478000,113000,11800,16,2,5,MONTHLY,HIGH,TAX_SAVING,61,HIGH
46,26000,6200,16400,234000,80000,3400,14,2,1,MONTHLY,MEDIUM,RETIREMENT,63,HIGH
34,60000,31600,5200,327000,12000,23200,2,1,4,MONTHLY,LOW,EMERGENCY_FUND,75,LOW
46,47000,23000,15300,90000,5000,8700,1,3,1,MONTHLY,LOW,WEALTH_CREATION,59,MEDIUM
60,90000,53200,18100,854000,382000,18700,9,1,2,LUMP_SUM,MEDIUM,EMERGENCY_FUND,41,MEDIUM
41,58000,33200,22400,166000,14000,2400,6,4,4,MONTHLY,MEDIUM,EMERGENCY_FUND,96,HIGH
22,88000,25000,52500,1201000,308000,10500,8,1,3,RARELY,MEDIUM,WEALTH_CREATION,54,HIGH
24,132000,101600,17300,759000,214000,13100,10,1,2,LUMP_SUM,LOW,EMERGENCY_FUND,51,HIGH
46,71000,35200,27100,210000,45000,8700,11,5,4,LUMP_SUM,HIGH,WEALTH_CREATION,92,HIGH
65,38000,23700,8200,507000,107000,6100,3,1,4,MONTHLY,MEDIUM,SHORT_TERM_GOAL,67,HIGH
45,54000,35800,0,1018000,360000,23000,6,2,3,MONTHLY,LOW,WEALTH_CREATION,80,HIGH
51,42000,37300,0,190000,25000,5700,4,2,2,MONTHLY,LOW,EMERGENCY_FUND,76,LOW
43,108000,60600,42700,1540000,578000,4700,16,1,3,QUARTERLY,MEDIUM,SHORT_TERM_GOAL,70,HIGH
49,35000,27600,0,575000,46000,19200,10,2,2,MONTHLY,LOW,TAX_SAVING,67,HIGH
27,70000,16800,42900,322000,132000,10300,10,3,1,RARELY,MEDIUM,WEALTH_CREATION,50,MEDIUM
44,51000,19000,27000,326000,40000,5000,3,4,4,LUMP_SUM,HIGH,EMERGENCY_FUND,78,MEDIUM
40,92000,56200,4300,275000,33000,31500,19,3,2,QUARTERLY,MEDIUM,SHORT_TERM_GOAL,54,LOW
43,140000,81900,47900,824000,7000,10200,10,1,2,RARELY,MEDIUM,SHORT_TERM_GOAL,50,LOW
45,122000,59600,50000,2718000,706000,12400,5,1,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,49,HIGH
54,87000,44500,13100,889000,473000,29400,4,2,4,RARELY,MEDIUM,RETIREMENT,50,HIGH
56,47000,17200,27500,133000,28000,2300,5,3,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,51,HIGH
58,80000,41300,33400,191000,14000,5300,9,1,4,LUMP_SUM,LOW,RETIREMENT,70,HIGH
51,59000,40800,13500,384000,81000,4700,3,4,2,MONTHLY,HIGH,TAX_SAVING,59,HIGH
29,20000,11000,6400,363000,30000,2600,17,1,3,MONTHLY,HIGH,TAX_SAVING,56,HIGH
65,34000,20100,12000,284000,61000,1900,18,2,3,MONTHLY,HIGH,RETIREMENT,47,HIGH
54,132000,71300,35800,419000,220000,24900,18,3,3,RARELY,MEDIUM,WEALTH_CREATION,67,HIGH
39,44000,14000,24900,408000,285000,5100,6,2,1,MONTHLY,MEDIUM,EMERGENCY_FUND,50,MEDIUM
47,132000,106500,16600,2168000,911000,8900,1,3,4,RARELY,LOW,SHORT_TERM_GOAL,88,HIGH
23,72000,52300,7800,1030000,267000,11900,11,3,1,RARELY,HIGH,TAX_SAVING,63,HIGH
53,65000,43500,14000,718000,179000,7500,8,3,1,MONTHLY,MEDIUM,WEALTH_CREATION,61,HIGH
60,215000,158600,4900,7510000,2788000,51500,7,1,3,MONTHLY,MEDIUM,TAX_SAVING,63,HIGH
44,80000,53200,0,620000,87000,36100,2,2,5,RARELY,MEDIUM,EMERGENCY_FUND,75,LOW
53,33000,22800,6400,394000,187000,3800,10,4,3,MONTHLY,HIGH,SHORT_TERM_GOAL,76,HIGH
42,148000,108100,0,6640000,1045000,52500,11,5,3,RARELY,MEDIUM,TAX_SAVING,87,HIGH
43,76000,52500,2300,957000,98000,21200,23,3,1,MONTHLY,HIGH,WEALTH_CREATION,45,HIGH
49,111000,71200,5600,1818000,170000,34200,15,4,4,LUMP_SUM,HIGH,RETIREMENT,93,HIGH
33,52000,23500,8300,512000,138000,20200,5,3,1,MONTHLY,MEDIUM,WEALTH_CREATION,73,MEDIUM
63,27000,15100,5600,361000,54000,6300,5,5,3,MONTHLY,MEDIUM,EMERGENCY_FUND,90,HIGH
43,38000,21100,5700,542000,115000,11200,18,1,3,RARELY,LOW,SHORT_TERM_GOAL,54,HIGH
25,31000,20900,0,121000,10000,10400,6,2,2,MONTHLY,MEDIUM,WEALTH_CREATION,74,MEDIUM
25,118000,74200,36800,1794000,567000,7000,9,5,1,LUMP_SUM,HIGH,EMERGENCY_FUND,63,HIGH
21,74000,46700,12900,662000,331000,14400,16,1,1,LUMP_SUM,HIGH,SHORT_TERM_GOAL,33,HIGH
50,76000,31000,16800,1342000,321000,28200,5,3,3,MONTHLY,MEDIUM,EMERGENCY_FUND,81,HIGH
41,48000,29200,2800,445000,27000,16000,2,2,2,RARELY,LOW,WEALTH_CREATION,47,MEDIUM
22,133000,85400,45200,1909000,356000,2400,2,2,1,MONTHLY,LOW,WEALTH_CREATION,85,HIGH
64,34000,17800,7400,94000,3000,8800,1,5,2,LUMP_SUM,MEDIUM,EMERGENCY_FUND,81,LOW
55,73000,37300,20900,407000,347000,14800,7,1,3,MONTHLY,LOW,WEALTH_CREATION,53,HIGH
63,20000,11700,2800,311000,122000,5500,21,2,3,MONTHLY,HIGH,TAX_SAVING,49,HIGH
49,80000,54900,8100,1326000,634000,17000,19,2,1,MONTHLY,LOW,WEALTH_CREATION,41,HIGH
64,60000,46100,2300,297000,14000,11600,14,3,3,MONTHLY,LOW,RETIREMENT,88,HIGH
45,32000,28900,0,732000,230000,9400,15,2,1,MONTHLY,MEDIUM,WEALTH_CREATION,42,HIGH
60,34000,21200,0,297000,39000,13500,11,3,3,LUMP_SUM,LOW,WEALTH_CREATION,68,HIGH
56,93000,65500,24300,2436000,998000,3200,10,3,5,MONTHLY,MEDIUM,WEALTH_CREATION,93,HIGH
32,83000,57200,23300,370000,75000,2500,1,1,2,RARELY,HIGH,WEALTH_CREATION,46,LOW
59,147000,86800,47900,1064000,276000,12300,4,2,2,QUARTERLY,LOW,WEALTH_CREATION,67,HIGH
58,127000,77700,8100,1978000,330000,41200,5,2,1,MONTHLY,LOW,TAX_SAVING,69,HIGH
33,66000,56800,0,712000,30000,27200,11,2,4,QUARTERLY,LOW,RETIREMENT,71,HIGH
57,131000,120500,0,4421000,1413000,15200,3,5,3,MONTHLY,MEDIUM,WEALTH_CREATION,90,HIGH
41,25000,20600,1400,255000,40000,3000,6,2,3,RARELY,MEDIUM,EMERGENCY_FUND,54,LOW
56,59000,51100,1000,926000,306000,6900,1,3,3,QUARTERLY,MEDIUM,WEALTH_CREATION,91,HIGH
37,51000,39600,4600,999000,119000,6800,2,2,3,RARELY,HIGH,TAX_SAVING,57,MEDIUM
60,103000,72600,16700,1835000,500000,13700,21,2,1,MONTHLY,HIGH,TAX_SAVING,48,HIGH
26,42000,22200,17300,734000,322000,2500,7,1,3,MONTHLY,LOW,RETIREMENT,82,HIGH
50,44000,37900,2700,731000,294000,3400,15,2,2,MONTHLY,MEDIUM,WEALTH_CREATION,58,HIGH
43,42000,14000,18200,696000,212000,9800,17,2,2,LUMP_SUM,MEDIUM,EMERGENCY_FUND,56,HIGH
61,23000,19900,0,321000,29000,5400,4,3,1,MONTHLY,LOW,RETIREMENT,60,HIGH
38,35000,24000,10300,379000,41000,700,6,2,1,RARELY,MEDIUM,RETIREMENT,67,HIGH
36,22000,17900,3200,117000,71000,900,5,2,1,LUMP_SUM,HIGH,WEALTH_CREATION,48,MEDIUM
38,75000,47300,19900,1304000,408000,7800,13,1,2,MONTHLY,MEDIUM,WEALTH_CREATION,45,HIGH
56,202000,137100,42600,2141000,1124000,22300,13,1,4,RARELY,MEDIUM,WEALTH_CREATION,46,HIGH
37,71000,51800,0,1459000,840000,20900,15,1,3,LUMP_SUM,LOW,WEALTH_CREATION,55,HIGH
27,67000,44400,10200,1247000,553000,12400,1,4,2,QUARTERLY,HIGH,WEALTH_CREATION,61,HIGH
56,73000,41300,19000,645000,220000,12700,14,2,3,LUMP_SUM,MEDIUM,WEALTH_CREATION,65,HIGH
53,55000,43600,2100,700000,308000,9300,19,1,5,MONTHLY,MEDIUM,EMERGENCY_FUND,73,HIGH
54,44000,26200,6300,594000,188000,11500,4,4,2,MONTHLY,MEDIUM,TAX_SAVING,71,HIGH
25,183000,138900,10700,1677000,933000,33400,5,3,2,RARELY,HIGH,WEALTH_CREATION,64,MEDIUM
21,93000,41100,47200,476000,31000,4700,2,2,4,MONTHLY,MEDIUM,RETIREMENT,74,HIGH
37,30000,18900,8900,151000,98000,2200,5,4,1,LUMP_SUM,MEDIUM,WEALTH_CREATION,60,HIGH
22,89000,72400,7200,1106000,246000,9400,2,3,2,QUARTERLY,LOW,EMERGENCY_FUND,71,HIGH
28,46000,22500,20000,525000,228000,3500,8,1,1,MONTHLY,MEDIUM,WEALTH_CREATION,58,HIGH
25,57000,40100,0,463000,76000,17700,8,2,5,MONTHLY,LOW,RETIREMENT,84,HIGH
31,54000,49600,0,459000,70000,8600,12,4,3,MONTHLY,MEDIUM,RETIREMENT,83,HIGH
49,69000,56600,8800,599000,253000,3600,19,1,3,RARELY,LOW,WEALTH_CREATION,66,HIGH
41,122000,57700,54300,1206000,192000,10000,8,2,3,LUMP_SUM,MEDIUM,SHORT_TERM_GOAL,68,HIGH
33,42000,26200,400,829000,496000,15400,10,4,4,MONTHLY,HIGH,TAX_SAVING,70,HIGH
23,68000,43600,13800,1115000,228000,10600,7,2,3,MONTHLY,MEDIUM,WEALTH_CREATION,65,HIGH
53,36000,16700,13200,166000,11000,6100,12,1,1,MONTHLY,MEDIUM,RETIREMENT,34,HIGH
53,75000,43000,28000,297000,77000,4000,21,1,4,MONTHLY,MEDIUM,RETIREMENT,66,HIGH
52,36000,14900,9500,221000,108000,11600,1,4,3,RARELY,MEDIUM,SHORT_TERM_GOAL,81,MEDIUM
32,42000,20500,10400,932000,635000,11100,2,4,2,MONTHLY,LOW,WEALTH_CREATION,72,HIGH
61,68000,47200,4200,837000,103000,16600,10,2,4,QUARTERLY,HIGH,SHORT_TERM_GOAL,64,MEDIUM
33,75000,58900,1400,2326000,1634000,14700,5,3,3,MONTHLY,LOW,WEALTH_CREATION,69,HIGH
51,146000,120200,8300,1462000,194000,17500,13,1,3,MONTHLY,MEDIUM,EMERGENCY_FUND,66,MEDIUM
30,140000,63600,22000,284000,78000,54400,3,1,1,LUMP_SUM,HIGH,SHORT_TERM_GOAL,40,LOW
51,49000,30900,6700,674000,237000,11400,1,4,4,MONTHLY,HIGH,WEALTH_CREATION,84,HIGH
22,73000,53200,11400,318000,144000,8400,5,1,4,MONTHLY,LOW,WEALTH_CREATION,69,HIGH
49,58000,30400,21900,858000,241000,5700,15,1,5,LUMP_SUM,MEDIUM,WEALTH_CREATION,73,HIGH
27,57000,32800,20300,893000,440000,3900,8,2,3,MONTHLY,HIGH,TAX_SAVING,50,HIGH
27,41000,27600,0,881000,144000,16200,7,3,3,MONTHLY,MEDIUM,WEALTH_CREATION,86,HIGH
52,26000,15200,5700,477000,54000,5100,15,3,3,MONTHLY,MEDIUM,TAX_SAVING,79,HIGH
41,26000,17000,4800,1185000,365000,4200,16,1,5,RARELY,LOW,TAX_SAVING,74,HIGH
39,103000,58900,28200,1660000,79000,15900,3,5,3,MONTHLY,LOW,WEALTH_CREATION,90,HIGH
48,81000,35400,29900,667000,135000,15700,19,2,1,MONTHLY,MEDIUM,RETIREMENT,33,HIGH
26,20000,18400,0,125000,81000,10500,15,1,1,MONTHLY,HIGH,RETIREMENT,35,LOW
42,20000,12100,7500,221000,108000,400,15,3,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,68,HIGH
38,49000,29800,1000,391000,98000,18200,16,3,2,MONTHLY,MEDIUM,EMERGENCY_FUND,56,MEDIUM
43,37000,29600,300,858000,136000,7100,15,2,2,QUARTERLY,HIGH,WEALTH_CREATION,41,HIGH
48,89000,53500,17200,1631000,811000,18300,8,3,2,LUMP_SUM,MEDIUM,WEALTH_CREATION,71,HIGH
59,162000,94300,25100,1173000,184000,42600,3,1,4,MONTHLY,MEDIUM,WEALTH_CREATION,73,MEDIUM
49,41000,23500,9300,429000,323000,8200,11,1,1,MONTHLY,LOW,WEALTH_CREATION,49,HIGH
52,63000,39600,0,842000,284000,31000,1,5,3,MONTHLY,HIGH,WEALTH_CREATION,92,MEDIUM
39,78000,60200,13600,724000,366000,4200,12,2,3,MONTHLY,MEDIUM,WEALTH_CREATION,70,HIGH
49,52000,28900,2300,804000,45000,20800,18,2,2,LUMP_SUM,LOW,TAX_SAVING,76,HIGH
27,62000,23000,36300,852000,368000,2700,22,2,1,RARELY,HIGH,EMERGENCY_FUND,26,HIGH
28,27000,14500,9000,331000,173000,3500,17,1,1,RARELY,HIGH,TAX_SAVING,24,HIGH
51,83000,41100,29200,364000,5000,12700,2,2,4,QUARTERLY,LOW,EMERGENCY_FUND,70,MEDIUM
33,43000,21900,2900,456000,121000,18200,9,1,1,QUARTERLY,LOW,WEALTH_CREATION,38,MEDIUM
47,27000,13300,10800,189000,52000,2900,12,3,5,MONTHLY,LOW,TAX_SAVING,100,HIGH
50,63000,41000,13700,1032000,58000,8300,24,2,4,MONTHLY,HIGH,EMERGENCY_FUND,67,HIGH
58,126000,115900,0,5373000,818000,43200,12,2,2,MONTHLY,LOW,SHORT_TERM_GOAL,75,HIGH
31,255000,164100,60800,6132000,3240000,30100,4,5,3,LUMP_SUM,HIGH,WEALTH_CREATION,89,HIGH
24,77000,45100,7700,1486000,674000,24200,9,3,4,LUMP_SUM,HIGH,EMERGENCY_FUND,72,HIGH
41,54000,18800,10200,654000,41000,25000,5,3,4,RARELY,HIGH,SHORT_TERM_GOAL,81,MEDIUM
50,34000,27000,4000,180000,43000,3000,1,1,1,RARELY,HIGH,RETIREMENT,47,LOW
62,81000,64800,2500,771000,261000,13700,7,1,5,LUMP_SUM,MEDIUM,SHORT_TERM_GOAL,76,MEDIUM
63,92000,84600,0,2705000,613000,24300,1,4,4,RARELY,HIGH,WEALTH_CREATION,91,HIGH
53,38000,22100,12200,466000,148000,3700,13,4,1,QUARTERLY,MEDIUM,RETIREMENT,72,HIGH
26,43000,29500,0,1932000,356000,19600,1,3,2,LUMP_SUM,MEDIUM,RETIREMENT,74,HIGH
40,98000,61800,0,581000,37000,39500,23,1,5,LUMP_SUM,LOW,RETIREMENT,83,HIGH
56,60000,42700,2900,868000,188000,14400,11,3,1,LUMP_SUM,MEDIUM,WEALTH_CREATION,53,HIGH
